t,DV,PV_Exp,PV_DV_FOPDTOPT,PV_DV_SOPDTOPT
1.610000000000000000e+02,1.000000000000000000e+00,2.094750000000001333e-01,2.103074992837870860e-01,2.104251628766335702e-01
1.620000000000000000e+02,1.000000000000000000e+00,2.134999999999999953e-01,2.111918561231004299e-01,2.113107887401028395e-01
1.630000000000000000e+02,1.000000000000000000e+00,2.151250000000000662e-01,2.120710821745706298e-01,2.121912589323800558e-01
1.640000000000000000e+02,1.000000000000000000e+00,2.159250000000000058e-01,2.129452072055751655e-01,2.130666034672041576e-01
1.650000000000000000e+02,1.000000000000000000e+00,2.167250000000000842e-01,2.138142608107896914e-01,2.139368521835893766e-01
1.660000000000000000e+02,1.000000000000000000e+00,2.167250000000000842e-01,2.146782724131899023e-01,2.148020347468424240e-01
1.670000000000000000e+02,1.000000000000000000e+00,2.167250000000000842e-01,2.155372712650477085e-01,2.156621806495736537e-01
1.680000000000000000e+02,1.000000000000000000e+00,2.167250000000000842e-01,2.163912864489216659e-01,2.165173192127023416e-01
1.690000000000000000e+02,1.000000000000000000e+00,2.167250000000000842e-01,2.172403468786415215e-01,2.173674795864563303e-01
1.700000000000000000e+02,1.000000000000000000e+00,2.167250000000000842e-01,2.180844813002872085e-01,2.182126907513654568e-01
1.710000000000000000e+02,1.000000000000000000e+00,2.199500000000000344e-01,2.189237182931620118e-01,2.190529815192495400e-01
1.720000000000000000e+02,1.000000000000000000e+00,2.231750000000000123e-01,2.197580862707602389e-01,2.198883805342005671e-01
1.730000000000000000e+02,1.000000000000000000e+00,2.239750000000000907e-01,2.205876134817291168e-01,2.207189162735589127e-01
1.740000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01,2.214123280108252489e-01,2.215446170488843125e-01
1.750000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01,2.222322577798654109e-01,2.223655110069207574e-01
1.760000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01,2.230474305486719599e-01,2.231816261305560323e-01
1.770000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01,2.238578739160125564e-01,2.239929902397755912e-01
1.780000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01,2.246636153205346653e-01,2.247996309926109104e-01
1.790000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01,2.254646820416945086e-01,2.256015758860822062e-01
1.800000000000000000e+02,1.000000000000000000e+00,2.255750000000000810e-01,2.262611012006806033e-01,2.263988522571358519e-01
1.810000000000000000e+02,1.000000000000000000e+00,2.255750000000000810e-01,2.270528997613320554e-01,2.271914872835762433e-01
1.820000000000000000e+02,1.000000000000000000e+00,2.272000000000000131e-01,2.278401045310513573e-01,2.279795079849921691e-01
1.830000000000000000e+02,1.000000000000000000e+00,2.320250000000000090e-01,2.286227421617120781e-01,2.287629412236778792e-01
1.840000000000000000e+02,1.000000000000000000e+00,2.328250000000000319e-01,2.294008391505611699e-01,2.295418137055488250e-01
1.850000000000000000e+02,1.000000000000000000e+00,2.328250000000000319e-01,2.301744218411160559e-01,2.303161519810519586e-01
1.860000000000000000e+02,1.000000000000000000e+00,2.328250000000000319e-01,2.309435164240565275e-01,2.310859824460707868e-01
1.870000000000000000e+02,1.000000000000000000e+00,2.328250000000000319e-01,2.317081489381115078e-01,2.318513313428252620e-01
1.880000000000000000e+02,1.000000000000000000e+00,2.336500000000000798e-01,2.324683452709405407e-01,2.326122247607662064e-01
1.890000000000000000e+02,1.000000000000000000e+00,2.368750000000000300e-01,2.332241311600103395e-01,2.333686886374646829e-01
1.900000000000000000e+02,1.000000000000000000e+00,2.376750000000001084e-01,2.339755321934660903e-01,2.341207487594962333e-01
1.910000000000000000e+02,1.000000000000000000e+00,2.409000000000000308e-01,2.347225738109978699e-01,2.348684307633198409e-01
1.920000000000000000e+02,1.000000000000000000e+00,2.409000000000000308e-01,2.354652813047018178e-01,2.356117601361518155e-01
1.930000000000000000e+02,1.000000000000000000e+00,2.409000000000000308e-01,2.362036798199365351e-01,2.363507622168346534e-01
1.940000000000000000e+02,1.000000000000000000e+00,2.409000000000000308e-01,2.369377943561743749e-01,2.370854621967007358e-01
1.950000000000000000e+02,1.000000000000000000e+00,2.409000000000000308e-01,2.376676497678478217e-01,2.378158851204311697e-01
1.960000000000000000e+02,1.000000000000000000e+00,2.409000000000000308e-01,2.383932707651909844e-01,2.385420558869094099e-01
1.970000000000000000e+02,1.000000000000000000e+00,2.432999999999999885e-01,2.391146819150762048e-01,2.392639992500700252e-01
1.980000000000000000e+02,1.000000000000000000e+00,2.441250000000000087e-01,2.398319076418457541e-01,2.399817398197426344e-01
1.990000000000000000e+02,1.000000000000000000e+00,2.441250000000000087e-01,2.405449722281388369e-01,2.406953020624906514e-01
2.000000000000000000e+02,1.000000000000000000e+00,2.441250000000000087e-01,2.412538998157136572e-01,2.414047103024453966e-01
2.010000000000000000e+02,1.000000000000000000e+00,2.449250000000000871e-01,2.419587144062647355e-01,2.421099887221352942e-01
2.020000000000000000e+02,1.000000000000000000e+00,2.465250000000000774e-01,2.426594398622356208e-01,2.428111613633101296e-01
2.030000000000000000e+02,1.000000000000000000e+00,2.481500000000000372e-01,2.433560999076266884e-01,2.435082521277606715e-01
2.040000000000000000e+02,1.000000000000000000e+00,2.481500000000000372e-01,2.440487181287983864e-01,2.442012847781333817e-01
2.050000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01,2.447373179752697636e-01,2.448902829387404889e-01
2.060000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01,2.454219227605124454e-01,2.455752700963652890e-01
2.070000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01,2.461025556627398914e-01,2.462562696010627272e-01
2.080000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01,2.467792397256921011e-01,2.469333046669554277e-01
2.090000000000000000e+02,1.000000000000000000e+00,2.497500000000000275e-01,2.474519978594158509e-01,2.476063983730249773e-01
2.100000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01,2.481208528410402958e-01,2.482755736638986577e-01
2.110000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01,2.487858273155481581e-01,2.489408533506316246e-01
2.120000000000000000e+02,1.000000000000000000e+00,2.529750000000000054e-01,2.494469437965423919e-01,2.496022601114844808e-01
2.130000000000000000e+02,1.000000000000000000e+00,2.537750000000000838e-01,2.501042246670083791e-01,2.502598164926962965e-01
2.140000000000000000e+02,1.000000000000000000e+00,2.562000000000000943e-01,2.507576921800717673e-01,2.509135449092532166e-01
2.150000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01,2.514073684597519232e-01,2.515634676456525165e-01
2.160000000000000000e+02,1.000000000000000000e+00,2.546000000000001040e-01,2.520532755017108606e-01,2.522096068566622717e-01
2.170000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01,2.526954351739980065e-01,2.528519845680766154e-01
2.180000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01,2.533338692177905527e-01,2.534906226774664706e-01
2.190000000000000000e+02,1.000000000000000000e+00,2.554000000000000159e-01,2.539685992481295340e-01,2.541255429549260647e-01
2.200000000000000000e+02,1.000000000000000000e+00,2.554000000000000159e-01,2.545996467546516873e-01,2.547567670438150023e-01
2.210000000000000000e+02,1.000000000000000000e+00,2.554000000000000159e-01,2.552270331023169803e-01,2.553843164614960637e-01
2.220000000000000000e+02,1.000000000000000000e+00,2.554000000000000159e-01,2.558507795321318112e-01,2.560082126000687297e-01
2.230000000000000000e+02,1.000000000000000000e+00,2.505499999999999394e-01,2.564709071618683778e-01,2.566284767270983203e-01
2.240000000000000000e+02,1.000000000000000000e+00,2.513750000000000151e-01,2.570874369867795495e-01,2.572451299863410257e-01
2.250000000000000000e+02,1.000000000000000000e+00,2.505499999999999394e-01,2.577003898803096882e-01,2.578581933984646080e-01
2.260000000000000000e+02,1.000000000000000000e+00,2.513750000000000151e-01,2.583097865948013050e-01,2.584676878617651608e-01
2.270000000000000000e+02,1.000000000000000000e+00,2.546000000000001040e-01,2.589156477621976649e-01,2.590736341528792064e-01
2.280000000000000000e+02,1.000000000000000000e+00,2.497500000000000275e-01,2.595179938947414500e-01,2.596760529274920737e-01
