omega,gain_DV_FOPDTOPT,gain_DV_SOPDTOPT,phase_DV_FOPDTOPT,phase_DV_SOPDTOPT
1.042321749878541637e-04,-8.809531432866464229e+00,-8.813891538409491133e+00,-1.091943951654907208e+00,-1.088805987679019704e+00
1.043522578342852600e-04,-8.809534626179303274e+00,-8.813894714017681764e+00,-1.093201697308091136e+00,-1.090060120729523740e+00
1.044724790246586967e-04,-8.809537826851869369e+00,-8.813897896944812516e+00,-1.094460891104692690e+00,-1.091315697770305571e+00
1.045928387183566111e-04,-8.809541034901119616e+00,-8.813901087207746343e+00,-1.095721534710072831e+00,-1.092572720461970848e+00
1.047133370749444117e-04,-8.809544250344051974e+00,-8.813904284823394164e+00,-1.096983629791497217e+00,-1.093831190467026593e+00
1.048339742541717803e-04,-8.809547473197694600e+00,-8.813907489808681106e+00,-1.098247178018145087e+00,-1.095091109449886524e+00
1.049547504159720359e-04,-8.809550703479132494e+00,-8.813910702180599799e+00,-1.099512181061105709e+00,-1.096352479076869946e+00
1.050756657204631367e-04,-8.809553941205468419e+00,-8.813913921956162412e+00,-1.100778640593386370e+00,-1.097615301016208189e+00
1.051967203279471116e-04,-8.809557186393860206e+00,-8.813917149152429076e+00,-1.102046558289907052e+00,-1.098879576938040392e+00
1.053179143989109678e-04,-8.809560439061499437e+00,-8.813920383786491897e+00,-1.103315935827509531e+00,-1.100145308514421938e+00
1.054392480940266234e-04,-8.809563699225618549e+00,-8.813923625875496271e+00,-1.104586774884957823e+00,-1.101412497419324898e+00
1.055607215741507848e-04,-8.809566966903489060e+00,-8.813926875436612463e+00,-1.105859077142935964e+00,-1.102681145328635370e+00
1.056823350003258826e-04,-8.809570242112419791e+00,-8.813930132487055147e+00,-1.107132844284056672e+00,-1.103951253920164355e+00
1.058040885337794749e-04,-8.809573524869767525e+00,-8.813933397044081630e+00,-1.108408077992858010e+00,-1.105222824873641096e+00
1.059259823359252634e-04,-8.809576815192921018e+00,-8.813936669124990075e+00,-1.109684779955810718e+00,-1.106495859870722853e+00
1.060480165683625115e-04,-8.809580113099308107e+00,-8.813939948747108843e+00,-1.110962951861313996e+00,-1.107770360594989789e+00
1.061701913928770735e-04,-8.809583418606402816e+00,-8.813943235927816033e+00,-1.112242595399705936e+00,-1.109046328731955633e+00
1.062925069714407578e-04,-8.809586731731716469e+00,-8.813946530684523495e+00,-1.113523712263255971e+00,-1.110323765969060128e+00
1.064149634662123032e-04,-8.809590052492804801e+00,-8.813949833034694592e+00,-1.114806304146176874e+00,-1.111602673995680357e+00
1.065375610395372834e-04,-8.809593380907251969e+00,-8.813953142995814005e+00,-1.116090372744620751e+00,-1.112883054503128077e+00
1.066602998539479446e-04,-8.809596716992697196e+00,-8.813956460585417929e+00,-1.117375919756680602e+00,-1.114164909184649721e+00
1.067831800721642490e-04,-8.809600060766811680e+00,-8.813959785821088744e+00,-1.118662946882399423e+00,-1.115448239735435720e+00
1.069062018570931703e-04,-8.809603412247309251e+00,-8.813963118720437251e+00,-1.119951455823761766e+00,-1.116733047852614957e+00
1.070293653718298047e-04,-8.809606771451946372e+00,-8.813966459301123990e+00,-1.121241448284708175e+00,-1.118019335235264311e+00
1.071526707796567070e-04,-8.809610138398516810e+00,-8.813969807580843252e+00,-1.122532925971124973e+00,-1.119307103584401997e+00
1.072761182440448800e-04,-8.809613513104860516e+00,-8.813973163577330183e+00,-1.123825890590857357e+00,-1.120596354602999778e+00
1.073997079286536521e-04,-8.809616895588852969e+00,-8.813976527308371445e+00,-1.125120343853706073e+00,-1.121887089995978970e+00
1.075234399973305560e-04,-8.809620285868414058e+00,-8.813979898791776790e+00,-1.126416287471427857e+00,-1.123179311470210884e+00
1.076473146141123581e-04,-8.809623683961500973e+00,-8.813983278045418146e+00,-1.127713723157743431e+00,-1.124473020734527928e+00
1.077713319432243406e-04,-8.809627089886122420e+00,-8.813986665087185202e+00,-1.129012652628333058e+00,-1.125768219499712730e+00
1.078954921490814261e-04,-8.809630503660315526e+00,-8.813990059935036925e+00,-1.130313077600846539e+00,-1.127064909478514565e+00
1.080197953962875408e-04,-8.809633925302163604e+00,-8.813993462606941165e+00,-1.131614999794896326e+00,-1.128363092385639588e+00
1.081442418496365360e-04,-8.809637354829792599e+00,-8.813996873120936826e+00,-1.132918420932067960e+00,-1.129662769937760380e+00
1.082688316741121476e-04,-8.809640792261381748e+00,-8.814000291495082351e+00,-1.134223342735919404e+00,-1.130963943853517284e+00
1.083935650348878601e-04,-8.809644237615126272e+00,-8.814003717747489475e+00,-1.135529766931978601e+00,-1.132266615853514846e+00
1.085184420973278423e-04,-8.809647690909283568e+00,-8.814007151896310788e+00,-1.136837695247755464e+00,-1.133570787660333146e+00
1.086434630269864050e-04,-8.809651152162150112e+00,-8.814010593959736184e+00,-1.138147129412732550e+00,-1.134876460998521797e+00
1.087686279896089766e-04,-8.809654621392057905e+00,-8.814014043956005295e+00,-1.139458071158378827e+00,-1.136183637594608831e+00
1.088939371511314934e-04,-8.809658098617386912e+00,-8.814017501903386176e+00,-1.140770522218141680e+00,-1.137492319177095812e+00
1.090193906776815380e-04,-8.809661583856559730e+00,-8.814020967820203722e+00,-1.142084484327458238e+00,-1.138802507476468495e+00
1.091449887355776347e-04,-8.809665077128034483e+00,-8.814024441724814807e+00,-1.143399959223748930e+00,-1.140114204225190608e+00
1.092707314913302113e-04,-8.809668578450317256e+00,-8.814027923635624262e+00,-1.144716948646426369e+00,-1.141427411157712735e+00
1.093966191116415725e-04,-8.809672087841954990e+00,-8.814031413571081330e+00,-1.146035454336896464e+00,-1.142742130010472756e+00
1.095226517634057233e-04,-8.809675605321544367e+00,-8.814034911549660123e+00,-1.147355478038555976e+00,-1.144058362521892969e+00
