t,MV,PV,DV
2.020000000000000000e+02,5.000000000000000000e+01,4.806499999999999773e+01,7.000000000000000000e+01
2.030000000000000000e+02,5.000000000000000000e+01,4.809799999999999898e+01,7.000000000000000000e+01
2.040000000000000000e+02,5.000000000000000000e+01,4.809799999999999898e+01,7.000000000000000000e+01
2.050000000000000000e+02,5.000000000000000000e+01,4.809799999999999898e+01,7.000000000000000000e+01
2.060000000000000000e+02,5.000000000000000000e+01,4.813000000000000256e+01,7.000000000000000000e+01
2.070000000000000000e+02,5.000000000000000000e+01,4.819400000000000261e+01,7.000000000000000000e+01
2.080000000000000000e+02,5.000000000000000000e+01,4.825900000000000034e+01,7.000000000000000000e+01
2.090000000000000000e+02,5.000000000000000000e+01,4.825900000000000034e+01,7.000000000000000000e+01
2.100000000000000000e+02,5.000000000000000000e+01,4.829099999999999682e+01,7.000000000000000000e+01
2.110000000000000000e+02,5.000000000000000000e+01,4.829099999999999682e+01,7.000000000000000000e+01
2.120000000000000000e+02,5.000000000000000000e+01,4.829099999999999682e+01,7.000000000000000000e+01
2.130000000000000000e+02,5.000000000000000000e+01,4.829099999999999682e+01,7.000000000000000000e+01
2.140000000000000000e+02,5.000000000000000000e+01,4.832300000000000040e+01,7.000000000000000000e+01
2.150000000000000000e+02,5.000000000000000000e+01,4.829099999999999682e+01,7.000000000000000000e+01
2.160000000000000000e+02,5.000000000000000000e+01,4.829099999999999682e+01,7.000000000000000000e+01
2.170000000000000000e+02,5.000000000000000000e+01,4.845199999999999818e+01,7.000000000000000000e+01
2.180000000000000000e+02,5.000000000000000000e+01,4.848400000000000176e+01,7.000000000000000000e+01
2.190000000000000000e+02,5.000000000000000000e+01,4.858100000000000307e+01,7.000000000000000000e+01
2.200000000000000000e+02,5.000000000000000000e+01,4.861299999999999955e+01,7.000000000000000000e+01
2.210000000000000000e+02,5.000000000000000000e+01,4.851700000000000301e+01,7.000000000000000000e+01
2.220000000000000000e+02,5.000000000000000000e+01,4.861299999999999955e+01,7.000000000000000000e+01
2.230000000000000000e+02,5.000000000000000000e+01,4.861299999999999955e+01,7.000000000000000000e+01
2.240000000000000000e+02,5.000000000000000000e+01,4.854899999999999949e+01,7.000000000000000000e+01
2.250000000000000000e+02,5.000000000000000000e+01,4.854899999999999949e+01,7.000000000000000000e+01
